Bussines Type,Bussines Name,Bussines Description,Bussines Address,Bussines Hours ,Bussines Phone ,Bussines Website ,Bussines Rating,Bussines Reviews
Bank,SBP Banking Services Corporation,Not Available,"H3Q5+C99, Rawalpindi Rd, Kahuta, Rawalpindi, Punjab 46000, Pakistan",Open ⋅ Closes 1PM,+92 51 9270751,Not Available,4.6,5
Bank,State Bank Of Pakistan Islamabad,Not Available,"P3CV+QQ9, Ataturk Ave, G-5/2 G-5, Islamabad, Islamabad Capital Territory, Pakistan",Open ⋅ Closes 1PM,+92 51 9201715,Not Available,4.3,86
Bank,Faza Travels & Tours (Pvt) Ltd . & HBL Express,Not Available,"H2QV+WXQ, Kot Kalan Pind Dadan Khan, Jhelum, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 314 9302910,Not Available,4,3
Bank,United Bank - UBL,Not Available,"WVM6+396, Talagang Hwy, Chakwal, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 543 554148,Not Available,3.5,25
ATM,UBL BANK & ATM,Not Available,"H2QV+MG2, Balochan Wala Pind Dadan Khan, Jhelum, Punjab, Pakistan",Open ⋅ Closes 5PM,+92 544 210511,Not Available,5,3
Business banking service,Aftab CD Center Easypaisa Shop,Not Available,"Choa Saidan Shah Rd, near old Nadra, Mohalla Jhimpir, Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Open ⋅ Closes 7PM,+92 344 5544855,Not Available,Not Available,Not Available
Post office,Pakistan Post Choa saidan shah,Not Available,"PXGQ+57X, Road, Mohalla Masoodabad, Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Open ⋅ Closes 12:30PM,+92 543 579007,Not Available,3.3,3
ATM,MCB ATM,Not Available,"PRM7+4JM, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,https://www.mcb.com.pk/,4,3
ATM,HBL ATM,Not Available,"J2J7+3CQ, ICI Factory Colony, Khewra, Jhelum, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Private sector bank,MCB,Not Available,"G3GG+PGQ, Main Bazar Rd, Miani, Sargodha, Punjab, Pakistan",Open ⋅ Closes 12:30PM ⋅ Reopens 2:30PM,+92 48 6796215,http://www.mcb.com.pk/,4,3
Bank,UBL Omni Zonal Office Chakwal,Not Available,"WVM6+378, Chakwal, Punjab, Pakistan",Open ⋅ Closes 9PM,Not Available,Not Available,3.8,5
Bank,Habib Bank Limited,Not Available,"HBL BANK, Bhera Malakwal Rd, NAMAK, Miani, Sargodha, Punjab 40550, Pakistan",Open ⋅ Closes 5PM,Not Available,http://www.hbl.com/,4.2,10
ATM,UBL ATM,Not Available,"W379+HHM, Khanpur Chakwal, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,5,1
Hospital,Kamran Ashraf Medical Centre,Not Available,"Ayub Plaza, Chakwal Rd, near Meezan bank, Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Closed ⋅ Opens 2PM,+92 343 5556857,Not Available,5,5
Bank,MCB MIANI 0378,Not Available,"G3GG+VHJ, Committe Road Miani, Miani Bhalwal, Sargodha, Punjab, Pakistan",Open ⋅ Closes 6PM,+92 48 6796215,http://www.mcb.com.pk/,3.7,10
Government college,Cadet College Choa Saiden Shah Chakwal,Not Available,"Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Open ⋅ Closes 12PM,+92 543 545200,http://www.cccss.edu.pk/,4.4,92
ATM,HBL ATM,Not Available,"HRJC+3VW, Pind Dadan Khan Road, ٹوبہ،, Jhelum, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,Not Available,Not Available
ATM,ABL ATM,Not Available,"QP99+G83, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,4,4
Post office,Post Office Basharat,Not Available,"Q3HW+C63, Basharat, Chakwal, Punjab, Pakistan",Open now,Not Available,Not Available,4,3
Real estate consultant,Satti Associate,Not Available,"Chakwal Rd, near UBL bank, Choa Saidan Shah, Chakwal, Punjab 48800, Pakistan",Open ⋅ Closes 9PM,+92 302 8513097,Not Available,5,1
Bank,MCB Head Office,Not Available,"15 Jail Rd, Main Gulberg, Lahore, Punjab 54000, Pakistan",Open ⋅ Closes 12PM,+92 42 111 000 111,http://www.mcb.com.pk/,4,26
Mobile money agent,Soban Mobile,Not Available,"PRM5+PXQ, Choa Saidan Shah Road, Kallar Kahar, Chakwal, Punjab, Pakistan",Open ⋅ Closes 9PM,+92 343 5080243,Not Available,5,6
Mosque,Masjid zainab,Not Available,"PXCP+HH4, Choa Wagon Stand, Mohalla Jhimpir, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Open ⋅ Closes 9:33PM,Not Available,Not Available,Not Available,Not Available
Bank,alBaraka Bank,Not Available,"G8RH+4FP, Shadman 1 Shadman, Lahore, Punjab 54000, Pakistan",Open ⋅ Closes 6PM,+92 21 111 113 442,Not Available,3.1,9
ATM,UBL ATM,Not Available,"WVM6+394, Chakwal, Punjab, Pakistan",Open 24 hours,Not Available,Not Available,Not Available,Not Available
Hardware store,Al Madina Traders,Not Available,"PXGQ+358, near Bank AL Falah, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Closes soon ⋅ 11AM ⋅ Opens 8AM Sat,+92 346 8102786,https://tokrii.pk/almadinatraders,5,1
Corporate office,"NADRA, choa saidan shah",Not Available,"Mohallah dalwal road, near noorani masjid, Pakistan",Open ⋅ Closes 4PM,+92 543 579268,http://www.nadra.gov.pk/,4.3,21
Not Available,Choa Saidan Shah Rest House,Not Available,"PXCG+447, Choa Saidan Shah Bypass, Choa Saidan Shah, Punjab, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Open now,Not Available,Not Available,4.1,13
Industrial supermarket,Pak Traders Plaza,Not Available,"Chakwal Rd, Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Closed ⋅ Opens 8AM Sat,+92 314 5654069,Not Available,4.6,15
Shopping mall,Public Pansar Store,Not Available,"Main Bazar, Mohalla Jhimpir, Choa Saidan Shah, Chakwal, Punjab 48320, Pakistan",Open ⋅ Closes 11:30AM,+92 343 5553949,https://www.facebook.com/PublicPansarStore/,5,2
General store,Haq Bahu General Store,Not Available,"WV6C+GV8, Chakwal-Jhelum Rd, Choa Saidan Shah Chowk, Tatral, Chakwal, Punjab 48800, Pakistan",Not Available,Not Available,Not Available,3,1
Supermarket,Sohawa Trade Market,Not Available,"R2Q3+47Q, Khanpur Rd, sohawa, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,5,1
University,Markazi Imam Bargah Dandot,Not Available,"MX46+RF9, Dandot, Jhelum, Punjab, Pakistan",Closed ⋅ Opens 12AM Thu,Not Available,Not Available,4.2,12
Bank,The Bank of Punjab - Head Office,Not Available,"BOP Tower, 10-B, Block E-II Main Boulevard, Gulberg III, Lahore, 54000, Pakistan",Open ⋅ Closes 5PM,+92 42 111 200 100,https://www.bop.com.pk/,3.7,15
Electronics company,"Ruba Digital (Rd), Choa Saidan Shah Branch",Not Available,"PXGQ+34G, Shop # 2, 3, 4, Gujjar Market, Chakwal Rd, opposite Bank Alfallah, Choa Saidan Shah, Chakwal, 48320, Pakistan",Closed ⋅ Opens 10AM Sat,+92 344 8965864,Not Available,Not Available,Not Available
Post office,Post Office,Not Available,"Waulah, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,3.3,3
Not Available,Choa Saidan Shah,Not Available,"Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Post office,"Post Office, Saigolabad",Not Available,"V2V2+3FQ, Khothian saigol abad, Khothian, Chakwal, Punjab, Pakistan",Open ⋅ Closes 12:30PM,Not Available,http://pakpost.gov.pk/,4.1,7
Not Available,Choa Saidan Shah,Not Available,"Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Dheri Jabba,Not Available,"Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,3.7,14
Housing society,Minhala,Not Available,"P285+VQ5, Chakwal, Punjab, Pakistan",Not Available,+92 315 5526546,Not Available,4.1,46
Electronics store,Ruba Digital,Not Available,"PX2P+PVR, road near alfallah bank, Gujjar Market, Choa sedan shah, Chakwal, Pakistan",Not Available,+92 543 579147,Not Available,5,1
Mosque,Qadeemi Imam Bargah,Not Available,"MX56+JXG, Dandot, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,4.2,13
Post office,Lehr Sultanpur Post Office,Not Available,"P3X4+366, Basharat-Saloi Rd, Lehr Sultanpur, Chakwal, Punjab, Pakistan",Open ⋅ Closes 12:30PM,+92 543 599008,http://www.pakpost.gov.pk/,3.5,6
Real estate rental agency,JANJUA PLAZA CHAKWAL PAKISTAN,Not Available,"WVH7+FX2, Janjua Corporation, Jhelum Rd, near Bank Islami, Chakwal, Punjab 48800, Pakistan",Open 24 hours,Not Available,Not Available,Not Available,Not Available
Post office,Pakistan Post,Not Available,"Kallar Kahar, Choa Saidan Shah Road, Dalialpur, Khairpur, Chakwal, Punjab 48800, Pakistan",Not Available,Not Available,Not Available,4.3,3
Engine rebuilding service,Afzal and sons,Not Available,"Shop No 12, Azmat Hayaat Market, Chakwal Rd, near Punjab Bank, Choa Saidan Shah, 48320, Pakistan",Closed ⋅ Opens 8AM Sat,Not Available,Not Available,4.5,2
Not Available,Tatral,Not Available,"Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Post office,Post office,Not Available,"PWV2+GFW, Dheri Syedan, Chakwal, Punjab, Pakistan",Not Available,Not Available,Not Available,Not Available,Not Available
Restaurant,BEEF IN BREAD,Not Available,"Khawaja, Near Meezan Bank Chakwal Road, Colony, Choa Saidan Shah, 48320, Pakistan",Open ⋅ Closes 12AM,+92 319 5009036,https://beef-in-bread.business.site/?utm_source=gmb&utm_medium=referral,Not Available,Not Available
Real estate developer,Satti Associate,Not Available,"UBL bank, Main Chakwal Rd, near Choa Saidan Shah, Chakwal, Punjab, Pakistan",Temporarily closed,+92 302 8513097,Not Available,Not Available,Not Available
Building society,Kot Mukarram,Not Available,"G3RM+HHX, Sargodha, Miani, Punjab, Daulatpur Khalchi, Sargodha, Punjab, Pakistan",Not Available,Not Available,Not Available,5,2
Auto parts store,Malik Brothers,Not Available,"PXGQ+978, Chakwal Rd, Choa Saidan Shah, Chakwal, Punjab, Pakistan",Temporarily closed,+92 341 5059286,Not Available,Not Available,Not Available
